Species,Mammals,Birds,Reptiles,Amphibians,Fish,  Marine Fish,  Freshwater Fish,Vascular plants,Mosses,Lichens,Invertebrates
Australia,67,66,33,10,24,8,16,587,1,..,11
Austria,17,19,3,8,15,..,15,465,135,251,356
Belgium,12,20,2,..,22,9,13,63,..,..,230
Canada,31,48,15,9,54,38,16,467,134,63,765
Chile,20,22,25,11,14,1,13,152,..,..,22
Denmark,10,13,..,..,..,..,6,57,..,..,..
Estonia,1,22,1,2,1,..,1,90,99,67,10
Finland,2,38,1,0,..,..,5,78,76,124,739
France,..,46,..,..,..,..,..,..,..,..,..
Germany,15,40,1,6,23,12,11,505,327,456,"2,183"
Greece,13,31,6,3,28,5,23,..,..,..,..
Hungary,6,35,..,1,..,..,..,105,63,45,8
Ireland,..,..,..,..,..,6,4,56,..,..,97
Israel,19,31,15,1,0,..,0,198,..,..,..
Latvia,2,16,0,1,1,..,1,83,17,4,34
Lithuania,4,20,1,1,2,0,2,41,26,3,22
Luxembourg,..,..,..,..,8,..,8,109,..,..,..
Mexico,52,29,92,37,62,..,58,165,..,..,1
Netherlands,6,19,4,3,14,4,10,168,43,65,11
New Zealand,2,32,21,1,12,..,12,101,2,8,71
Norway,7,25,..,..,2,2,..,111,59,99,671
Poland,1,10,1,..,7,..,14,195,31,165,570
Portugal,13,61,6,2,4,..,..,..,..,..,..
Slovak Republic,12,17,4,5,..,..,6,..,..,..,..
Slovenia,15,45,11,14,10,1,9,254,..,..,..
Spain,13,63,16,8,..,..,24,714,161,..,203
Sweden,6,35,2,5,8,7,1,113,..,..,..
Switzerland,16,41,5,4,13,..,13,362,282,116,487
United Kingdom,5,57,..,..,24,..,..,482,63,111,428
United States,47,39,33,42,..,..,109,"2,684",..,..,..
