,Mammals,Birds,Reptiles,Amphibians,Fish,  Marine Fish,  Freshwater Fish,Vascular plants,Mosses,Lichens,Invertebrates
Australia,27,17,6,12,1,..,..,7,0,..,0
Austria,27,27,64,60,46,..,46,33,23,21,2
Belgium,21,28,40,32,20,14,35,23,27,59,11
Canada,24,13,58,34,6,4,22,21,21,21,6
Chile,21,9,40,68,..,..,..,..,..,..,1
Czech Republic,16,47,54,73,38,..,38,26,29,37,16
Denmark,16,16,..,7,..,..,15,4,..,44,14
Estonia,3,10,50,44,7,3,12,9,34,24,3
Finland,9,35,20,14,..,..,17,16,21,17,5
France,14,27,24,23,22,..,22,52,..,..,21
Germany,34,36,62,36,26,23,30,27,41,52,37
Greece,25,14,14,26,9,3,32,4,..,..,..
Hungary,16,18,27,11,43,..,43,14,26,16,28
Iceland,..,44,..,..,..,..,..,12,..,..,..
Ireland,2,27,0,33,..,5,18,10,19,..,15
Italy,18,28,20,32,7,4,26,7,31,10,1
Japan,21,14,37,38,4,0,42,26,13,4,1
Korea,11,10,16,25,2,..,13,5,..,..,1
Latvia,8,17,29,31,2,2,2,11,11,3,0
Lithuania,10,14,29,15,5,2,7,10,10,17,0
Luxembourg,..,19,33,29,28,..,28,27,..,..,15
Mexico,27,21,18,13,6,..,31,2,..,..,..
Netherlands,21,24,71,44,24,18,33,26,24,23,31
New Zealand,..,..,..,..,..,..,..,..,..,..,1
Norway,19,17,..,17,2,2,..,8,13,11,5
Poland,12,8,27,..,21,18,34,16,12,32,3
Portugal,20,28,20,10,34,..,..,..,..,..,..
Slovak Republic,22,24,42,44,..,..,15,15,34,24,7
Slovenia,38,28,75,81,18,5,47,10,..,..,..
Spain,17,20,37,39,..,..,48,18,24,..,..
Sweden,22,20,33,38,14,19,5,17,..,..,..
Switzerland,37,35,79,68,34,..,34,26,40,36,34
Turkey,14,4,..,7,..,..,..,11,..,..,0
United Kingdom,11,23,..,..,..,..,..,18,15,7,2
United States,17,12,18,40,..,..,32,27,..,..,..
Brazil,..,..,..,4,..,..,..,..,..,..,..
Colombia,9,7,8,7,2,3,8,3,6,..,1
Costa Rica,6,2,6,20,..,0,0,1,..,..,..
Russia,13,8,12,19,..,..,12,2,..,..,..
